0,1,2,3,4,5,6
30.83,0,1.25,1,202,0,+
58.67,4.46,3.04,6,43,560,+
24.5,0.5,1.5,0,280,824,+
27.83,1.54,3.75,5,100,3,+
20.17,5.625,1.71,0,120,0,+
32.08,4,2.5,0,360,0,+
33.17,1.04,6.5,0,164,31285,+
22.92,11.585,0.04,0,80,1349,+
54.42,0.5,3.96,0,180,314,+
42.5,4.915,3.165,0,52,1442,+
22.08,0.83,2.165,0,128,0,+
29.92,1.835,4.335,0,260,200,+
38.25,6,1,0,0,0,+
48.08,6.04,0.04,0,0,2690,+
45.83,10.5,5,7,0,0,+
36.67,4.415,0.25,10,320,0,+
28.25,0.875,0.96,3,396,0,+
23.25,5.875,3.17,10,120,245,+
21.83,0.25,0.665,0,0,0,+
19.17,8.585,0.75,7,96,0,+
25,11.25,2.5,17,200,1208,+
23.25,1,0.835,0,300,0,+
47.75,8,7.875,6,0,1260,+
27.42,14.5,3.085,1,120,11,+
41.17,6.5,0.5,3,145,0,+
15.83,0.585,1.5,2,100,0,+
47,13,5.165,9,0,0,+
56.58,18.5,15,17,0,0,+
57.42,8.5,7,3,0,0,+
42.08,1.04,5,6,500,10000,+
29.25,14.79,5.04,5,168,0,+
42,9.79,7.96,8,0,0,+
49.5,7.585,7.585,15,0,5000,+
36.75,5.125,5,0,0,4000,+
22.58,10.75,0.415,5,0,560,+
27.83,1.5,2,11,434,35,+
27.25,1.585,1.835,12,583,713,+
23,11.75,0.5,2,300,551,+
27.75,0.585,0.25,2,260,500,+
54.58,9.415,14.415,11,30,300,+
34.17,9.17,4.5,12,0,221,+
28.92,15,5.335,11,0,2283,+
29.67,1.415,0.75,1,240,100,+
39.58,13.915,8.625,6,70,0,+
56.42,28,28.5,40,0,15,+
54.33,6.75,2.625,11,0,284,+
41,2.04,0.125,23,455,1236,+
31.92,4.46,6.04,3,311,300,+
41.5,1.54,3.5,0,216,0,+
23.92,0.665,0.165,0,100,0,+
25.75,0.5,0.875,0,491,0,+
26,1,1.75,0,280,0,+
37.42,2.04,0.04,0,400,5800,+
34.92,2.5,0,0,239,200,+
34.25,3,7.415,0,0,0,+
23.33,11.625,0.835,0,160,300,+
23.17,0,0.085,0,0,0,+
